Date,Time,Lat,Lon,Alt,Sats,HDOP,Temp,Hum,DewPoint,Pres,Gas,Bewolkung,Wind_Avg_ms,Wind_Gust_ms,Wind_Dir,Wind_Dir_deg,Rain_mm,Modus,a20k_Low,a40k_Mid,a55k_High,a80k_FM,a110k_CF
25.02.2026,16:48:59,0.0,0.0,0.0,0,99.9,12.83,72.19,7.94,1008.86,44.93,0,2.09,2.02,S,180.0,0.00,Stat,0.4906,1.1665,1.5916,2.2917,3.2809
25.02.2026,16:49:01,0.0,0.0,0.0,0,99.9,12.88,72.16,7.99,1008.86,47.80,0,1.67,1.67,S,180.0,0.00,Stat,0.4904,1.1682,1.5947,2.2965,3.2866
25.02.2026,16:49:03,0.0,0.0,0.0,0,99.9,12.93,72.05,8.01,1008.87,50.31,0,1.33,1.67,SSE,157.5,0.00,Stat,0.4904,1.1695,1.5970,2.2998,3.2906
25.02.2026,16:49:05,0.0,0.0,0.0,0,99.9,12.97,71.89,8.02,1008.87,52.99,0,1.00,1.00,S,180.0,0.00,Stat,0.4906,1.1704,1.5984,2.3016,3.2927
25.02.2026,16:49:07,0.0,0.0,0.0,0,99.9,13.01,71.73,8.02,1008.88,55.39,0,0.67,0.33,S,180.0,0.00,Stat,0.4909,1.1709,1.5989,2.3022,3.2933
25.02.2026,16:49:09,0.0,0.0,0.0,0,99.9,13.03,71.57,8.01,1008.88,57.66,0,0.33,0.67,S,180.0,0.00,Stat,0.4912,1.1713,1.5994,2.3026,3.2937
25.02.2026,16:49:11,0.0,0.0,0.0,0,99.9,13.06,71.42,8.01,1008.87,59.20,0,1.67,1.33,S,180.0,0.00,Stat,0.4915,1.1716,1.5994,2.3025,3.2935
25.02.2026,16:49:13,0.0,0.0,0.0,0,99.9,13.07,71.27,7.99,1008.85,60.78,0,1.67,1.67,S,180.0,0.00,Stat,0.4919,1.1716,1.5991,2.3017,3.2925
25.02.2026,16:49:15,0.0,0.0,0.0,0,99.9,13.09,71.14,7.98,1008.84,62.40,0,2.00,2.00,S,180.0,0.00,Stat,0.4922,1.1715,1.5986,2.3007,3.2913
25.02.2026,16:49:17,0.0,0.0,0.0,0,99.9,13.09,70.99,7.95,1008.83,63.96,0,1.33,1.33,S,180.0,0.00,Stat,0.4927,1.1711,1.5974,2.2988,3.2889
25.02.2026,16:49:19,0.0,0.0,0.0,0,99.9,13.10,70.84,7.92,1008.81,64.89,0,1.67,1.67,S,180.0,0.00,Stat,0.4931,1.1707,1.5962,2.2967,3.2863
25.02.2026,16:49:21,0.0,0.0,0.0,0,99.9,13.10,70.73,7.90,1008.81,65.70,0,1.33,1.33,S,180.0,0.00,Stat,0.4934,1.1704,1.5953,2.2952,3.2845
25.02.2026,16:49:23,0.0,0.0,0.0,0,99.9,13.10,70.60,7.88,1008.80,66.74,0,1.67,1.67,SE,135.0,0.00,Stat,0.4939,1.1698,1.5939,2.2930,3.2817
25.02.2026,16:49:25,0.0,0.0,0.0,0,99.9,13.09,70.52,7.85,1008.80,67.43,0,1.33,1.67,SSE,157.5,0.00,Stat,0.4942,1.1694,1.5928,2.2912,3.2795
25.02.2026,16:49:27,0.0,0.0,0.0,0,99.9,13.09,70.45,7.84,1008.81,68.03,0,1.67,1.33,S,180.0,0.00,Stat,0.4944,1.1690,1.5920,2.2899,3.2779
25.02.2026,16:49:29,0.0,0.0,0.0,0,99.9,13.09,70.40,7.83,1008.80,68.81,0,1.33,1.33,S,180.0,0.00,Stat,0.4945,1.1687,1.5913,2.2888,3.2765
25.02.2026,16:49:31,0.0,0.0,0.0,0,99.9,13.09,70.36,7.81,1008.80,69.49,0,1.33,1.33,SE,135.0,0.00,Stat,0.4947,1.1684,1.5907,2.2878,3.2753
25.02.2026,16:49:33,0.0,0.0,0.0,0,99.9,13.08,70.32,7.80,1008.80,69.89,0,1.33,1.33,SE,135.0,0.00,Stat,0.4949,1.1681,1.5899,2.2866,3.2739
